dataset,sample_id,patient_id,tissue,paired_status,paired_id,etiology,MVI,platform,selection_strategy,matrix_type,counts_available,qc_provenance,abundance_eligible,analysis_inclusion,source_member,n_features,n_cells_source,n_cells_after_corrected_qc,retention_fraction,n_high_confidence_neutrophils_before_qc,n_high_confidence_neutrophils_after_corrected_qc,corrected_high_confidence_neutrophil_retention_fraction,n_broad_granulocyte_like_before_qc,n_broad_granulocyte_like_after_corrected_qc,corrected_broad_granulocyte_retention_fraction,n_doublet_proxy_review,min_nFeature_RNA,min_nCount_RNA,max_percent_mt,threshold_basis,all_feature_q01,all_count_q01,all_percent_mt_q98,flag_review,qc_status,missing_marker_genes,audit_scope
CRA002308,N01,CRA002308_P01,Adjacent,paired,CRA002308_P01,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N01,36601,8321,8273,0.9942314625645956,1374,1365,0.9934497816593888,1380,1371,0.9934782608695653,8,300,500,20.0,all_source_cells_q01_q01_q98_bounded_identity_independent,404.2,693.2,11.84238112434715,False,PASS,,cell_called_matrix_corrected_qc
CRA002308,N02,CRA002308_P02,Adjacent,paired,CRA002308_P02,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N02,36601,12783,12675,0.9915512790424784,2375,2345,0.9873684210526316,2428,2398,0.987644151565074,31,300,500,20.0,all_source_cells_q01_q01_q98_bounded_identity_independent,359.0,542.0,11.87772020725389,False,PASS,,cell_called_matrix_corrected_qc
CRA002308,N03,CRA002308_P03,Adjacent,paired,CRA002308_P03,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N03,36601,13848,13740,0.9922010398613518,1429,1423,0.9958012596221134,1470,1464,0.9959183673469388,49,300,500,20.0,all_source_cells_q01_q01_q98_bounded_identity_independent,391.0,661.47,8.234403754760267,False,PASS,,cell_called_matrix_corrected_qc
CRA002308,N04,CRA002308_P04,Adjacent,paired,CRA002308_P04,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N04,36601,10800,10719,0.9925,1735,1717,0.9896253602305476,1758,1740,0.9897610921501706,30,300,500,20.0,all_source_cells_q01_q01_q98_bounded_identity_independent,381.0,637.95,9.98190499838488,False,PASS,,cell_called_matrix_corrected_qc
CRA002308,N05,CRA002308_P05,Adjacent,paired,CRA002308_P05,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N05,36601,6653,6541,0.9831654892529684,1012,1003,0.991106719367589,1034,1024,0.9903288201160542,14,300,500,20.0,all_source_cells_q01_q01_q98_bounded_identity_independent,323.52,525.52,16.514218419632588,False,PASS,,cell_called_matrix_corrected_qc
CRA002308,N06,CRA002308_P06,Adjacent,paired,CRA002308_P06,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N06,36601,10459,10384,0.9928291423654269,1403,1394,0.993585174625802,1467,1458,0.9938650306748468,24,300,500,20.0,all_source_cells_q01_q01_q98_bounded_identity_independent,412.58,600.74,9.921416448110593,False,PASS,,cell_called_matrix_corrected_qc
CRA002308,N07,CRA002308_P07,Adjacent,paired,CRA002308_P07,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/N07,36601,4855,4811,0.9909371781668384,586,583,0.9948805460750854,591,588,0.9949238578680204,14,300,500,20.0,all_source_cells_q01_q01_q98_bounded_identity_independent,320.0,564.54,8.984617920123057,False,PASS,,cell_called_matrix_corrected_qc
CRA002308,T01,CRA002308_P01,Tumor,paired,CRA002308_P01,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/T01,36601,13259,12938,0.975790029413983,2369,2323,0.9805825242718448,2425,2379,0.9810309278350516,33,300,500,30.0,all_source_cells_q01_q01_q98_bounded_identity_independent,347.0,629.58,31.95520624991612,False,PASS,,cell_called_matrix_corrected_qc
CRA002308,T02,CRA002308_P02,Tumor,paired,CRA002308_P02,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/T02,36601,12394,12233,0.987009843472648,2038,2021,0.991658488714426,2055,2037,0.9912408759124088,29,300,500,20.0,all_source_cells_q01_q01_q98_bounded_identity_independent,393.0,644.9300000000001,13.716426679318891,False,PASS,,cell_called_matrix_corrected_qc
CRA002308,T03,CRA002308_P03,Tumor,paired,CRA002308_P03,unknown,unknown,10x_scRNA_cell_called_matrix,flow-sorted live nucleated cells after doublet exclusion; no lineage-specific immune enrichment documented; paired within-cohort abundance sensitivity analysis allowed,cell_called_count_matrix,True,task003_corrected_task002_identity_independent,CONDITIONAL,YES,/data/lf_data/HCC_Peritumoral_Neutrophil_scRNA_Atlas/raw_data/CRA002308/T03,36601,10605,10562,0.995945308816596,915,908,0.9923497267759562,933,926,0.992497320471597,25,300,500,20.0,all_source_cells_q01_q01_q98_bounded_identity_independent,472.04,847.6400000000001,8.46153619342474,False,PASS,,cell_called_matrix_corrected_qc
